x-axis,1,2
second,Volt,Volt
580.60000e-03,,
580.65000e-03,-1.00322864,-3.59905772
580.70000e-03,-1.00724874,-3.61664566
580.75000e-03,-1.00373116,-3.61664566
580.80000e-03,-999.71106e-03,-3.57895721
580.85000e-03,-1.00373116,-3.57644465
580.90000e-03,-999.71106e-03,-3.57644465
580.95000e-03,-999.71106e-03,-3.59654515
581.00000e-03,-999.71106e-03,-3.53875621
581.05000e-03,-999.71106e-03,-3.61664566
581.10000e-03,-1.00724874,-3.57644465
581.15000e-03,-999.71106e-03,-3.57644465
581.20000e-03,-999.71106e-03,-3.57644465
581.25000e-03,-999.71106e-03,-3.57644465
581.30000e-03,-1.00775126,-3.53624365
581.35000e-03,-999.71106e-03,-3.57644465
581.40000e-03,-999.71106e-03,-3.53875621
581.45000e-03,-1.00373116,-3.55634415
581.50000e-03,-999.71106e-03,-3.57644465
581.55000e-03,-1.01177136,-3.55885671
581.60000e-03,-1.00724874,-3.53624365
581.65000e-03,-1.00775126,-3.51865571
581.70000e-03,-1.00724874,-3.53624365
581.75000e-03,-999.71106e-03,-3.53624365
581.80000e-03,-999.71106e-03,-3.53875621
581.85000e-03,-999.71106e-03,-3.53624365
581.90000e-03,-999.71106e-03,-3.53624365
581.95000e-03,-1.00322864,-3.51614315
582.00000e-03,-999.71106e-03,-3.53624365
582.05000e-03,-1.00775126,-3.55885671
582.10000e-03,-1.00775126,-3.53624365
582.15000e-03,-1.00775126,-3.51865571
582.20000e-03,-999.71106e-03,-3.53624365
582.25000e-03,-1.00775126,-3.53624365
582.30000e-03,-1.00775126,-3.49855521
582.35000e-03,-1.00322864,-3.49604264
582.40000e-03,-1.00775126,-3.53624365
582.45000e-03,-1.00322864,-3.51614315
582.50000e-03,-1.00775126,-3.49604264
582.55000e-03,-1.00322864,-3.49604264
582.60000e-03,-1.00775126,-3.53624365
582.65000e-03,-1.00373116,-3.49604264
582.70000e-03,-1.00775126,-3.45835420
582.75000e-03,-1.00775126,-3.51865571
582.80000e-03,-999.71106e-03,-3.45835420
582.85000e-03,-995.18844e-03,-3.49604264
582.90000e-03,-999.20854e-03,-3.49604264
582.95000e-03,-999.71106e-03,-3.45584164
583.00000e-03,-991.67085e-03,-3.45584164
583.05000e-03,-995.18844e-03,-3.45584164
583.10000e-03,-999.20854e-03,-3.49604264
583.15000e-03,-999.71106e-03,-3.45584164
583.20000e-03,-991.67085e-03,-3.45584164
583.25000e-03,-995.69095e-03,-3.45584164
583.30000e-03,-999.71106e-03,-3.45584164
