#2*theta/�	R(35kV)/Imp/s

16.0	83.0
16.2	82.0
16.4	87.0
16.6	84.0
16.7	85.0
17.0	84.0
17.2	85.0
17.4	83.0
17.6	83.0
17.7	79.0
18.0	82.0
18.2	76.0
18.4	76.0
18.6	75.0
18.8	76.0
19.0	69.0
19.2	76.0
19.4	96.0
19.6	132.0
19.8	155.0
20.0	178.0
20.2	185.0
20.4	184.0
20.6	186.0
20.8	192.0
21.0	181.0
21.2	192.0
21.4	187.0
21.6	188.0
21.7	190.0
22.0	194.0
22.2	188.0
22.4	180.0
22.6	186.0
22.8	187.0
23.0	180.0
23.2	174.0
23.4	175.0
23.6	169.0
23.8	166.0
24.0	161.0
